Stop_Name,Location_Easting,Location_Northing
HAVELOCK ROAD,533850,166150
HIGH STREET / WHITEHORSE LANE,532705,168292
CARLTON AVENUE,510987,174198
CARLTON AVENUE,510985,174112
ST ANNE'S CHURCH,530614,178051
SACRED HEART HOUSE,528610,175549
ST PATRICK'S CHURCH,543725,171051
SOUTHGATE STATION <>,529649,194254
HIGH STREET / SOUTHALL TOWN HALL,512829,180485
BEDFORD ROAD,540189,190090
BEDFORD ROAD,540201,189996
CHIPSTEAD VALLEY / RECTORY LANE,528022,158997
SOUTH CROYDON BUS GARAGE,532560,163448
RUISLIP STATION <>,509504,187090
RUISLIP STATION <>,509492,187086
RUISLIP STATION <>,509483,187109
THE CITY PAVILION,548479,190532
THE CITY PAVILION,548493,190504
VAUGHAN AVENUE,553892,185839
VAUGHAN AVENUE,553904,185826
BLACKHEATH / ROYAL STANDARD,540464,177429
WATLING AVENUE,520210,190362
RINGWAY,512462,178203
RINGWAY,512483,178118
NEW HESTON ROAD,512484,177584
NEW HESTON ROAD,512514,177519
WEST GROVE PRIMARY SCHOOL,529689,194747
WEST GROVE PRIMARY SCHOOL,529669,194782
CHARTER WAY,529597,195083
CHARTER WAY,529576,195106
MERRIVALE,529482,195378
MERRIVALE,529442,195467
HESTON HEALTH CENTRE,512430,177294
CHURCH STREET,532793,194799
HESTON HEALTH CENTRE,512403,177285
SOMERSET WAYE,512120,177329
SOMERSET WAYE,512071,177325
NORTHFIELD ROAD,511693,177385
HARLECH GARDENS,511378,177468
HARLECH GARDENS,511307,177449
CRANFORD LANE / REDWOOD ESTATE,510856,177456
QUINTON CLOSE,510765,177403
ELTHAM HILL / PARK AVENUE,541703,174611
HARMONDSWORTH ROAD,506387,178732
HARMONDSWORTH ROAD,506394,178615
UPHILL ROAD,521607,192514
KENNARD STREET,542630,180033
BUSHEY ROAD / GRAND DRIVE,523167,169035
BROOKSIDE SCHOOL,554207,192354
BROOKSIDE SCHOOL,554127,192327
HARKNESS CLOSE,554462,192391
STAR ROAD,514893,176147
LINDFIELD ROAD,554502,192448
WIGTON WAY,554362,192721
WIGTON WAY,554424,192688
TEES DRIVE,553989,192804
PALACE ROAD,530102,188856
DARLASTON ROAD,524137,170190
CLAPHAM JUNCTION STATION #,527237,175380
THE PARKWAY,510598,177244
PUTNEY STATION #,523949,174982
WILTON STREET,528659,179442
OAKWOOD STATION <>,529314,195941
GREYHOUND HILL,522417,189625
BALLARDS ROAD / PRINCESS PARADE,549495,183411
BANK STATION <> / KING WILLIAM STREET,532773,180992
EDGEBURY PRIMARY SCHOOL,544135,171544
EDGEBURY PRIMARY SCHOOL,544159,171541
CHISLEHURST / GORDON ARMS,543981,171132
GREYHOUND HILL,522416,189769
BOUNCES ROAD,534622,193909
BROMLEY COURT HOTEL,539381,170639
BROMLEY COURT HOTEL,539449,170589
HOLLINGBOURNE ROAD,532197,174685
RYECROFT ROAD,531517,171050
RYECROFT ROAD,531484,171035
FOREST ROAD,547563,192091
WATLING AVENUE,520148,190567
WARWICK TERRACE / PLUMSTEAD COMMON ROAD,544840,177842
GREAT SOUTH WEST ROAD,508111,173836
BEACON ROAD,507329,174058
LONG LANE,506911,174264
CONWAY ROAD,544838,178591
CONWAY ROAD,544835,178531
GRIFFIN ROAD / BREWERY ROAD,544791,178394
GRIFFIN ROAD / BREWERY ROAD,544785,178328
HEAVITREE ROAD,544689,177970
HEAVITREE ROAD,544728,178121
ADDISON WAY,524814,189211
HEATHER CLOSE,550914,190726
HEATHER CLOSE,550986,190738
PECKHAM LIBRARY,534109,176705
HOOP LANE,525046,187964
HOOP LANE,525079,187789
KEW BRIDGE STATION #,518895,178035
HURSTMERE SCHOOL,547129,173089
HURSTMERE SCHOOL,546976,172881
BRIDGEWATER ROAD,517075,185069
CLAPHAM SOUTH STATION <>,528800,174250
SUDBURY & HARROW ROAD STATION #,516937,185262
CHAPLIN ROAD,517259,185020
COPLAND AVENUE,517619,185038
FLAMSTED AVENUE,519464,184688
LEWISHAM STATION #,538244,175855
FLAMSTED AVENUE,519437,184686
STONEBRIDGE PARK STATION <> # / POINT PLACE,519855,184375
UPTON PARK / GREEN STREET,541521,183236
NORTH CIRCULAR ROAD,519980,184169
PLAISTOW LANE,541468,169417
SOUTHBOROUGH ROAD / BICKLEY STATION #,542388,168928
SUNNY CRESCENT,520115,184099
WEST END CLOSE,520392,183997
HURST SPRINGS,548344,173223
WEST HILL / SHEPHERDS LANE,553523,174203
SHAKESPEARE ROAD,520730,183917
KNATCHBULL ROAD,520919,183941
TOLWORTH BROADWAY,519652,165985
KNATCHBULL ROAD,520922,183927
CRAVEN PARK,521095,183868
CRAYFORD BRIDGE,551548,174697
CRAVEN PARK,521158,183820
KENSAL GREEN STATION <> #,523236,182741
ROYAL OAK STATION <>,525719,181665
BELMONT HILL,538550,175532
SUTTON POLICE STATION,526038,164043
BARKING INDUSTRIAL PARK,546174,183711
COUNTY GROVE,532104,177005
HEATH ROAD / GROVE AVENUE,515715,173121
HOLLAND PARK STATION <>,524679,180252
MORDEN HALL ROAD / CENTRAL ROAD,526166,168299
WHITTON STATION #,514195,173590
VILLIERS ROAD,522550,184634
VILLIERS ROAD,522627,184637
ANGEL CORNER,534144,192574
BLACKBIRD HILL,520496,186505
CUCKOO HALL LANE,535049,194980
CHARLTON WAY / MAZE HILL,539597,176994
NORTHUMBERLAND PARK,550296,177291
BRIGHTON ROAD / OLD LODGE LANE,530691,160752
REGENT'S PARK STATION <>,528686,182154
SUSSEX GARDENS,527213,181529
SAVAGE GARDENS,543183,181198
THE HIGHWAY / COURT ROAD,547266,164717
THE HIGHWAY SCHOOL,547143,164459
THE HIGHWAY SCHOOL,547168,164478
CHELSFIELD STATION #,546724,164134
WOODSIDE,546471,164225
CLOONMORE AVENUE,546218,164370
CLOONMORE AVENUE,546196,164361
TOLLGATE ROAD,543062,181741
MARQUIS OF GRANBY / GOLDSMITHS,536494,176988
ALBATROSS CLOSE,543023,181958
LONSDALE AVENUE,542912,182268
LONSDALE AVENUE,542887,182302
EAST HAM FIRE STATION,542841,182533
MORTIMER ROAD,542804,182646
VICARAGE LANE,542802,182703
MARLOW ROAD,542755,182826
EAST HAM / WHITE HORSE,542722,183100
MARKET STREET,542704,183301
NORTH FINCHLEY BUS STATION,526400,192068
NEWHAM TOWN HALL,542643,183484
KEMPTON ROAD,542498,183757
CALEDON ROAD,542449,183884
GLOUCESTER PLACE,527867,181936
MOUNT VERNON HOSPITAL,507766,191982
EAST HAM STATION <>,542342,184300
PUTNEY STATION #,524050,175022
MASHITERS HILL,550773,190841
MASHITERS HILL,550733,190926
MORAY WAY,550856,191140
MORAY WAY,550884,191213
CAMPBELL CLOSE,551094,191546
GARRY WAY,551026,191381
GLADSTONE AVENUE,542306,184502
BARKINGSIDE POLICE STATION,544271,189830
THE CROSSWAYS,531208,157754
OLD DOVER ROAD,540984,177101
NORMAN ROAD,508652,170474
NORMAN ROAD,508624,170441
SPELTHORNE COUNTY SCHOOL,508867,170812
SPELTHORNE COUNTY SCHOOL,508898,170798
ELGIN AVENUE,508441,170908
ELGIN AVENUE,508392,170910
SCHOOL ROAD,507722,171061
HATTON ROAD NORTH,509000,176783
HATTON ROAD NORTH,508864,176835
SHELLEY AVENUE,542250,184719
HERVEY ROAD,541135,177108
TAVISTOCK SQUARE,529897,182395
GLADSTONE AVENUE,542299,184426
KINGS ROAD,506629,179507
QUEENS ROAD,506549,179491
NORTH ROAD,506973,179513
NORTH ROAD,506935,179503
MULBERRY PARADE,507150,179537
RUSKIN AVENUE,542210,184932
OLD STREET STATION <> #,532774,182283
BOSTALL HILL / BOSTALL LANE,546643,178156
LASCELLES AVENUE,514870,187796
LASCELLES AVENUE,514763,187725
TREVE AVENUE,514529,187608
WHITMORE ROAD,514430,187490
SHAFTESBURY AVENUE,514229,187266
PORLOCK AVENUE,514230,187174
DUDLEY ROAD,514462,186981
RUSKIN AVENUE,542209,184892
DUDLEY ROAD,514390,187018
BERKELEY CLOSE,510010,186134
BERKELEY CLOSE,510036,186112
RAYNERS LANE,513058,187613
RAYNERS LANE STATION <>,512982,187580
BERKELEY ROAD,542168,185056
BERKELEY ROAD,542148,185110
RECTORY WAY,507735,186343
IVY HOUSE ROAD,507733,186322
BOND STREET STATION <>,528479,181103
COLCHESTER ROAD,555759,191664
HALIDON RISE,555762,191441
HALIDON RISE,555734,191413
DAVID DRIVE,555526,191312
DAVID DRIVE,555461,191273
FIRHAM PARK AVENUE,555199,191086
FIRHAM PARK AVENUE,555188,191061
HAROLD WOOD LIBRARY,554970,190791
HAROLD WOOD STATION #,554736,190696
ARUNDEL ROAD,554724,191047
OXFORD ROAD NORTH,519633,178382
CRANBOURNE ROAD,542093,185429
CURZON CRESCENT,545476,183048
CAPEL ROAD,541969,185915
RIVER ROAD,545416,183023
THAMES VIEW / CHRIST CHURCH,545762,183131
THAMES VIEW / CHRIST CHURCH,545650,183090
THAMES VIEW HEALTH CENTRE,546094,183141
THAMES VIEW HEALTH CENTRE,546048,183140
SEVERN DRIVE,556568,188131
BRIDGEND ROAD,526099,175380
CHISWICK LANE,521374,178554
CAPEL ROAD,541972,185992
SOUTHFIELDS AVENUE,507942,171019
CHESSHOLME ROAD,508043,170988
WOOLWICH ROAD / VICTORIA WAY,540722,178415
ARUNDEL ROAD,554716,191079
CHINGDALE ROAD,539177,193129
MERSEY AVENUE,556807,188052
MERSEY AVENUE,556763,188074
CROUCH VALLEY,557017,187983
CROUCH VALLEY,556998,187972
FRONT LANE,557266,187962
CITY OF LONDON CEMETERY,541840,186204
FRONT LANE,557209,187956
EDGWARE WAY,518522,192974
NEWPORT ROAD,507067,176834
CITY OF LONDON CEMETERY,541692,186392
HAMPSTEAD HEATH,526450,186830
HAMPSTEAD HEATH,526438,186782
HAROLD WOOD LIBRARY,554959,190810
WANSTEAD PARK AVENUE,541625,186408
PERCY ROAD,549803,190021
PERCY ROAD,549826,189987
CROSS ROAD,549720,190148
CROSS ROAD,549642,190169
VALIANT CLOSE,549467,190449
VALIANT CLOSE,549491,190417
BUSH ROAD,541598,192725
BUSH ROAD,541610,192743
HERONWAY,541369,192499
HERONWAY,541369,192472
HILLSIDE CLOSE,541227,192189
SPENCER CLOSE,541215,192141
WOODFORD STATION <>,541102,191898
WOODFORD STATION <>,541068,191807
SPRING GARDENS,540989,191389
ST ANTHONY'S AVENUE,540987,191539
GORDON ROAD,540937,190751
BROADMEAD ROAD,541010,191194
BROADMEAD ROAD,541005,191232
GORDON ROAD,540946,190748
LATCHETT ROAD,540905,190554
WAKEFIELD ROAD,533775,189000
CHURCH LANE,550246,184360
FARM CLOSE,549995,184151
FARM CLOSE,550036,184175
RIDGEWELL CLOSE,549853,183998
RIDGEWELL CLOSE,549830,183955
OVAL ROAD NORTH,549665,183789
OVAL ROAD NORTH,549640,183709
OVAL ROAD SOUTH,549617,183480
MILLFIELDS ROAD,534968,185821
SOUTHEND CRESCENT / SOUTHEND CLOSE,543537,174339
LAMBETH TOWN HALL,530945,175146
STRATHEDEN PARADE,540305,177219
WANSFORD ROAD,540969,190975
WANSFORD ROAD,540977,190956
LONGBRIDGE ROAD,546723,185818
MAYESBROOK ROAD,546878,186058
MAYESBROOK ROAD,546894,186040
SCHOOL WAY,547068,186304
SCHOOL WAY,547054,186248
WALDEGRAVE ROAD,547275,186496
WALDEGRAVE ROAD,547289,186476
CLAREMONT ROAD,524604,183110
STAMFORD ROAD,534062,189079
BELMORE PARADE,510139,181283
RUXLEY CORNER,547862,170662
CHADWELL HEATH LANE,546767,189068
OLD RUISLIP ROAD,511283,183502
TOTTENHAM HALE RETAIL PARK,534241,189311
HENSON PLACE,511258,183632
BELMONT HILL,538479,175555
MONTGOMERY ROAD,518971,191449
EDGWARE WAY,518527,192998
PORTLAND PLACE,528774,181813
DEEPDENE ROAD,546311,175883
RUSKIN DRIVE,546195,175893
FOREST HILL STATION # / DEVONSHIRE ROAD,535371,172974
SHAWFORD COURT,522473,173604
HYACINTH ROAD,522327,173424
HEATHMERE PRIMARY SCHOOL,522252,173263
PARK ROAD / LONDON BUSINESS SCHOOL,527588,182340
PARK ROAD / LONDON BUSINESS SCHOOL,527573,182321
WATERWORKS CORNER,539427,190632
ROSSMORE ROAD / LISSON GROVE,527289,182199
CHURCH STREET,527108,182292
THE AVENUE,510473,176933
KENMORE ROAD,517750,189828
WATERWORKS CORNER,539435,190604
WOOD LANE,552287,185045
FREEBORNE GARDENS,552180,184741
FREEBORNE GARDENS,552185,184780
KINGABY GARDENS,552319,184432
KINGABY GARDENS,552368,184395
MUNGO PARK ROAD / SOUTH END ROAD,552503,184274
FORD LANE,552134,183923
ALEXANDRA ROAD,552050,183563
CHELMSFORD ROAD,539501,190873
ALEXANDRA ROAD,552064,183530
PARKGATE ROAD,528691,164348
PARKGATE ROAD,528726,164341
PARK LANE,528390,164518
PARK LANE,528368,164537
EYNSHAM DRIVE / BLITHDALE ROAD,546438,178841
EYNSHAM DRIVE / BLITHDALE ROAD,546448,178827
FELIXSTOWE ROAD,546597,179276
FELIXSTOWE ROAD,546543,179232
PETERSTONE ROAD,546888,179491
CHALCOMBE ROAD,546718,179338
WAXWELL LANE,511719,190472
NORTH CIRCULAR ROAD,519999,184177
CASSIOBURY AVENUE,509621,174059
CASSIOBURY AVENUE,509743,174090
DULWICH / THE PLOUGH,534022,174001
HOWE CLOSE,549421,190619
HOWE CLOSE,549437,190584
PADDINGTON STATION<># / EASTBOURNE TERRACE,526441,181352
PARKWAY,528723,183700
LONGFORD CLOSE,513313,171837
LONGFORD CLOSE,513230,171860
ALBYNS CLOSE,552502,184191
FORD LANE,552142,183959
LAWN FARM GROVE,548047,189501
KINGSTON HILL AVENUE,548156,190040
ROSE LANE / BILLET ROAD,547946,189801
ROSE LANE / BILLET ROAD,547966,189775
FURZE FARM CLOSE,548439,190171
FURZE FARM CLOSE,548414,190156
KINGSTON HILL AVENUE,548164,190060
LAWN FARM GROVE,548075,189453
ALDERMAN AVENUE,546670,183011
ALDERMAN AVENUE,546603,183025
GLENMORE WAY,546412,183097
GLENMORE WAY,546314,183116
GOSPATRICK ROAD,532306,190943
GOSPATRICK ROAD,532319,190918
NORTHWICK PARK STATION <>,516647,188024
PECKHAM POST OFFICE,534345,176783
ACTON MAIN LINE STATION #,520394,181265
THE BROOK HOUSE,509708,182641
ADELPHI CRESCENT,509482,182680
ADELPHI CRESCENT,509340,182784
WEYMOUTH ROAD,509460,183016
GREENWICH TOWN CENTRE / CUTTY SARK,538383,177763
LAUNCELOT ROAD,540613,171848
LAUNCELOT ROAD,540611,171762
ROYAL VETERINARY COLLEGE,529500,183618
ROYAL COLLEGE STREET,529518,183477
WANGEY ROAD,547561,187839
GRIFFIN ROAD / PLUMSTEAD STATION,544877,178758
DORCHESTER GROVE,521547,178033
STREATHAM HILL STN # / STREATHAM HILL,530349,172822
MARSH HILL,536306,185251
ADLEY STREET,536405,185305
KINGSMEAD ESTATE,536529,185369
KINGSMEAD ESTATE,536478,185320
HARROW LODGE PARK,552005,186082
MAYPLACE RD WEST / BEXLEYHEATH CLOCK TWR,549331,175289
SYCAMORE AVENUE,546032,174543
SOUTH WOODFORD STATION <>,540645,189998
NORTH CHEAM / QUEEN VICTORIA,523462,164991
DANSON PARK,547593,174867
DANSON ROAD / SANDHURST ROAD,547615,174724
BEDFONT ROAD,506275,174305
BEDFONT ROAD,506297,174329
EVEREST ROAD,506175,174005
EVEREST ROAD,506174,173963
CORDELIA ROAD,506166,173817
CORDELIA ROAD,506178,173781
THE HAPPY LANDING,505997,173567
THE HAPPY LANDING,505950,173489
ST ANNE'S AVENUE,505829,173365
ST ANNE'S AVENUE,505829,173325
BLOEMFONTEIN ROAD / HAMMERSMITH HOSPITAL,522451,180973
CECIL AVENUE,518654,185248
THE WOODLANDS,516785,192564
THE WOODLANDS,516867,192502
HANWORTH AIR PARK LEISURE CTR & LIBRARY,511814,172713
HARLESDEN POLICE STATION,521122,183981
HANWORTH AIR PARK LEISURE CTR & LIBRARY,511913,172666
HERMIT ROAD,539801,181866
STRATFORD PARK,539394,183941
CHURCH STREET,539361,183761
LEVETT ROAD,545363,184913
LEVETT ROAD,545387,184880
SALISBURY AVENUE,545453,184706
SALISBURY AVENUE,545526,184630
SANDRINGHAM ROAD,545607,184509
BARKING COMMUNITY HOSPITAL,545718,184459
UPNEY STATION <>,545883,184225
RIPPLE ROAD,545933,184019
RIPPLE ROAD,545950,184018
OCEAN ESTATE,535905,182191
POWERSCROFT ROAD / LOWER CLAPTON ROAD,535164,185559
COLLIER ROW ROAD,549418,190911
COLLIER ROW ROAD,549426,190815
GOBIONS FARM,549281,190970
HOG HILL ROAD,549220,191010
FRINTON ROAD,549264,191440
FRINTON ROAD,549213,191280
STAPLEFORD GARDENS,549360,191741
CURZON CRESCENT,521311,184403
UPNEY STATION <>,545819,184324
MEDFIELD STREET,522470,173779
TOWER ROAD,549504,175400
WALTHAM PARK WAY,537347,190933
WOODFORD GREEN / BROADMEAD ROAD,540105,191899
ROMAN ROAD,536009,183233
GROSVENOR GARDENS,540384,191614
GROSVENOR GARDENS,540351,191651
VERNON AVENUE,540570,191469
VERNON AVENUE,540608,191465
ST BARNABAS ROAD,540958,191322
WOODFORD STATION <>,541142,191846
GREENSTEAD AVENUE,541404,191778
RAY LODGE PRIMARY SCHOOL,541512,191744
CHIGWELL ROAD,541851,191590
ERIC ROAD,521555,184710
RAY LODGE PRIMARY SCHOOL,541647,191670
STRATFORD PARK,539300,183949
LITTLE PARK DRIVE,512178,172750
CENTRAL SQUARE,512837,168056
ILEX ROAD,521591,184728
DEPTFORD BRIDGE [DLR],537393,176924
HAMMERSMITH BRIDGE ROAD,523235,178505
GREATFIELD AVENUE,542752,182316
WILLESDEN MAGISTRATES COURT,521684,184833
HENDON WAR MEMORIAL,522714,188920
ARMOURY WAY,525389,174803
MEYRICK ROAD,522031,184788
WATERSON STREET,533416,182789
POUND LANE,522131,184765
ST MARGARETS CHURCH,519325,191688
FREDERICK PLACE,543928,178226
BLOOMFIELD ROAD / PLUMSTEAD COMMON ROAD,543913,177959
HERBERT ROAD,543883,177933
FREDERICK PLACE,543725,178296
WILLESDEN GREEN LIBRARY,522959,184634
BROOKHILL ROAD / CONNAUGHT ESTATE,543582,178501
STANMORE HILL,516930,192294
BOW BUS GARAGE,537373,183068
CHELSEA WORLDS END,526593,177538
NEW FETTER LANE,531275,181264
ST MARY'S CHURCH / PUTNEY PIER >R<,524203,175708
WILLESDEN GREEN LIBRARY,522823,184617
ST MARY'S CHURCH / PUTNEY PIER >R<,524140,175552
LONDON HILTON HOTEL,528347,180080
DORCHESTER HOTEL,528157,180422
DORCHESTER HOTEL,528197,180450
MARBLE ARCH,527897,180794
MARBLE ARCH / BAYSWATER ROAD,527623,180956
MEDFIELD STREET,522415,173778
CAMBRIDGE HEATH ROAD,534899,181893
SOUTH HARROW STATION <>,514213,186361
MANSELL STREET,533794,181075
HYDE PARK CORNER STATION <>,528229,179841
BURGESS ROAD,539099,185632
WINCHMORE HILL / STATION ROAD,531960,194271
GLENBURNIE ROAD,527881,172477
GREENWICH TOWN CENTRE / CUTTY SARK,538398,177732
SHELDON ROAD,523770,185562
CAMDEN TOWN STATION <>,528992,183894
SHELDON ROAD,523778,185625
GOWER STREET / UNIVERSITY COLLEGE HOSP,529528,182226
CHENIES STREET,529754,181910
DENMARK STREET,529870,181148
LAMBETH TOWN HALL,530928,175096
MITCHAM ROAD / TOOTING BROADWAY STATION <>,527553,171391
CLEVELEY CLOSE,541880,178919
ALBERT ROAD,530787,187398
CROUCH HILL STATION #,530655,187442
MORA ROAD,523600,185977
CROUCH HILL STATION # / HANLEY ROAD,530686,187384
VICTORIA ROAD,530776,187489
INVERFORTH HOUSE,526225,186617
BETSTYLE ROAD,528868,192680
ST JOHN STREET / GOSWELL ROAD,531478,183044
MORA ROAD,523566,186050
BETSTYLE CIRCUS,528857,192644
BROOKDALE,529014,192874
BROOKDALE,529003,192842
MORTON WAY,529133,193007
MORTON WAY,529102,193225
LINCOLN AVENUE,529003,193448
LINCOLN AVENUE,529042,193391
ARLINGTON ROAD,528788,193745
ARLINGTON ROAD,528807,193718
HAMPDEN SQUARE,528647,194142
LONGLEY WAY,523436,186231
PARKSIDE GARDENS,527932,194416
PARKSIDE GARDENS,527973,194400
ST MARY'S CHURCH,527660,194653
ST MARY'S CHURCH,527695,194638
CEDAR AVENUE,527412,194923
CEDAR AVENUE,527356,195030
CHURCH HILL ROAD,527219,195287
DOLLIS HILL LANE,523246,186527
TOTTENHAM HIGH ROAD,533998,190630
TOTTENHAM HIGH ROAD,534028,190645
SPENCER ROAD,534280,190673
SPENCER ROAD,534348,190697
CHALGROVE ROAD,534548,190715
CHALGROVE ROAD,534572,190730
DOLLIS HILL LANE,523169,186605
HAGGERSTON STATION >LOL<,533472,183899
BURNHAM STREET,535197,182781
BROOK CRESCENT,537464,192771
GREAT RUSSELL STREET,529975,181602
WOOD GREEN BUS GARAGE,530960,190512
BROCKLEY RISE / CHANDOS,536223,173929
PORTERS AVENUE,546617,184676
ST MARY'S CHURCH,531710,183865
ST CEDD'S CHURCH,546625,184932
ST CEDD'S CHURCH,546635,184922
IVINGHOE ROAD,546633,185235
IVINGHOE ROAD,546643,185189
ILCHESTER ROAD,546638,185435
ILCHESTER ROAD,546649,185426
BECONTREE AVENUE,546622,185781
LONSDALE CLOSE,542227,182389
STAPLES CORNER RETAIL PARK,522796,187067
LONSDALE CLOSE,542151,182391
HATHERLEY GARDENS,541810,182463
HALDANE ROAD,541841,182764
CREIGHTON AVENUE,541708,183046
GLENTHORNE HIGH SCHOOL,525277,166026
FOREST ROAD,525025,166432
TONFIELD ROAD,524986,166445
OXGATE LANE,522845,186943
STONECOT HILL,524626,166668
HIGHBURY & ISLINGTON STATION <> #,531521,184810
TURNPIKE LANE STATION <>,531551,189526
BARKING STATION <> #,544433,184322
PARK ROAD,522146,187903
VALENTINE ROAD,535678,184626
VALENTINE ROAD,535533,184546
MOUNT ANGELUS ROAD,521936,173883
MOUNT ANGELUS ROAD,521913,173911
ROEHAMPTON LIBRARY,522246,173757
ROEHAMPTON LIBRARY,522224,173774
CLAPHAM ROAD / STOCKWELL STATION<>,530447,176396
ST MARY'S CHURCH,531696,183949
GEORGE STREET,527943,181361
DORSET STREET,527877,181575
MARYLEBONE ROAD,527799,181827
DORSET SQUARE / MARYLEBONE STATION <> #,527719,182082
DORSET SQUARE / MARYLEBONE STATION<> #,527712,182107
YORK STREET,527967,181848
ST GEORGE'S CIRCUS,531434,179429
SANDFORD ROAD,542525,182335
CATFORD BUS GARAGE,537882,172493
HOLLAND AVENUE,521909,169832
HOLLAND AVENUE,521872,169838
ORCHARD LANE,522931,169932
KINGSTON HOSPITAL,519626,169932
KINGSTON HOSPITAL,519644,169910
NEW VICTORIA HOSPITAL,521503,170021
NEW VICTORIA HOSPITAL,521470,170043
SHEAVESHILL AVENUE,521216,189110
COTTENHAM PARK ROAD,522073,169730
COTTENHAM PARK ROAD,522094,169710
THOROGOOD GARDENS,539404,185020
MCGRATH ROAD,539644,185090
MCGRATH ROAD,539675,185110
MAGPIE CLOSE,539907,185183
ST JAMES SCHOOL,540067,185225
SHEAVESHILL AVENUE,521254,189020
ST JAMES SCHOOL,540188,185274
FOREST GATE STATION #,540457,185368
FOREST GATE STATION #,540501,185274
MANOR PARK CRESCENT,519378,191780
MANOR PARK CRESCENT,519372,191808
CECIL ROAD,520946,189721
PORTERS AVENUE,546629,184700
MORFORD WAY,511035,187802
COLINDEEP LANE,520998,189369
CRESCENT DRIVE,543930,167537
STANMORE STATION <>,517526,192567
MUSEUM STREET,530237,181523
SANDFORD ROAD,542478,182333
WALTHAM PARK WAY,537318,190942
ROYAL GREENWICH UNI TECH COLLEGE,541824,178908
HAYMARKET,529680,180626
BURNT OAK BROADWAY,520034,190577
GOLDHAWK ROAD / YOUNG'S CORNER,521811,178620
WIMBLEDON POLICE STATION,525002,170674
NORTH ROAD,519826,190842
WIMBLEDON POLICE STATION,525003,170695
TRINITY ROAD,525362,170960
TRINITY ROAD,525477,171005
CRAVEN GARDENS,525628,171038
CRAVEN GARDENS,525708,171062
HAYDONS ROAD STATION #,525935,171093
HAYDONS ROAD STATION #,525940,171104
NORTH ROAD,519855,190790
KING'S CROSS ROAD / PENTONVILLE ROAD,530611,182988
DEANSBROOK ROAD,519509,191284
ACTON STREET,530720,182755
ACTON STREET,530640,182726
COLLIER ROW / NTH ROMFORD COMMUNITY CTR,549965,191249
MARBLE ARCH STATION <> / PARK LANE,527937,180890
MOORGATE STATION # <>,532596,181564
LONDON WALL / MUSEUM OF LONDON,532261,181552
LITTLE HEATH,546869,189079
HIGHBURY BARN,531911,185496
FIRS AVENUE,527956,191629
DUNEDIN ROAD,551445,182756
ROYAL FREE HOSPITAL,527291,185501
NORTHWOOD STATION <>,509264,191414
MOORFIELDS EYE HOSPITAL,532565,182719
ST BARNABAS CHURCH,524573,179308
GUNTER GROVE,526207,177425
FULHAM ROAD,526062,177644
REDCLIFFE STREET,525858,177870
OLD BROMPTON ROAD,525635,178115
EARLS COURT SQUARE,525482,178245
EARLS COURT STATION <>,525302,178391
FISHER ROAD,516099,190511
FISHER ROAD,516083,190576
WILLESDEN GREEN STATION <>,523423,184831
CLIFTON AVENUE,516873,190261
CLIFTON AVENUE,516814,190303
QUEENS AVENUE,516980,189912
QUEENS AVENUE,516945,189994
HAMMERSMITH BRIDGE ROAD,523200,178440
WHITE HART LANE STATION #,533886,191444
YARDLEY LANE ESTATE,537763,196051
LEA VALLEY ROAD,537619,194956
LEA VALLEY ROAD,537610,194791
MAYO ROAD,521354,184539
HAWKWOOD CRESCENT,537687,195307
MAIDA AVENUE,537586,194583
MOUNT ECHO DRIVE,537594,194361
MOUNT ECHO DRIVE,537610,194329
MANSFIELD PARK,537710,193944
HAMMERSMITH STN / H'SMITH & CITY LINE<>,523308,178648
ROUNDWOOD ROAD,521469,184626
BENNETTS CASTLE LANE,547414,186909
PIMLICO STATION <>,529769,178420
PIMLICO STATION <>,529803,178421
WANSTEAD STATION <> / GEORGE GREEN,540531,188177
BOW CHURCH,537643,182923
GEORGE STREET,517870,174889
ALDWYCH / THE ROYAL COURTS OF JUSTICE,530822,181068
ALDWYCH / SOMERSET HOUSE,530747,180897
YORK STREET / TWICKENHAM,516346,173388
GREEN PARK STATION <>,528918,180345
BERKELEY SQUARE,528745,180555
HAYES AND HARLINGTON STATION #,509709,179449
KINGWOOD ROAD,523943,176909
LONDON HILTON HOTEL,528431,180126
MILL LANE,524352,185045
CONNAUGHT GARDENS,526234,168012
DURRANT WAY,545049,164211
DURRANT WAY,545104,164210
CONNAUGHT GARDENS,526257,168029
LANGDON WALK,526189,167680
LANGDON WALK,526221,167776
CHESTER GARDENS,526155,167431
LEOMINSTER WALK,526186,167528
ST HELIER AVENUE / MIDDLETON ROAD,526130,167276
ST HELIER AVENUE / MIDDLETON ROAD,526147,167258
DORE GARDENS,526075,166889
OLD COULSDON / TUDOR ROSE,531109,158150
NETLEY GARDENS,526108,166972
LITTLE ILFORD LANE,542868,185969
BROOK GREEN,523949,178683
OSTERLEY STATION <>,514563,177036
MOUNT EPHRAIM ROAD,530228,172435
SHEPHERD'S BUSH MARKET STATION <>,523124,180007
BOUNDARY ROAD,525974,183705
SHEPHERD'S BUSH MARKET STATION <>,523187,180004
LOFTUS ROAD,522863,180079
LOFTUS ROAD,522947,180050
ADELAIDE GROVE,522419,180094
UXBRIDGE HIGH STREET,505401,184343
ADELAIDE GROVE,522471,180078
SECOND AVENUE,521651,180102
THIRD AVENUE,521632,180084
LARDEN ROAD,521244,180086
LARDEN ROAD,521255,180073
DOVEDALE CLOSE,505112,190194
